Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,45.0,1.0,45.0,45.0,0.1,23.408000000000023,0.0,0.0,0.005327701568603516,,,,,,,,,,,,,,,,,,,,,7.203763198735358,7.773989238221177,23.13006766131187,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,73.0,2.0,28.0,73.0,0.1,14.005999999999995,0.0,0.0,3.3720831871032715,,,,,,,,,,,,,,,,,,,,,4.428824692643108,4.8481392170261035,13.9097985959994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,126.0,3.0,53.0,126.0,0.1,32.907999999999994,0.0,0.0,9.085809230804443,,,,,,,,,,,,,,,,,,,,,11.225869851412781,11.08140896270477,32.377752024171436,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,165.0,4.0,39.0,165.0,0.1,21.20700000000002,0.0,0.0,13.593928337097168,,,,,,,,,,,,,,,,,,,,,6.807422574567845,7.176204520105254,20.983456449033476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,228.0,5.0,63.0,228.0,0.1,33.308,0.0,0.0,20.282357692718506,,,,,,,,,,,,,,,,,,,,,11.177352221640316,10.68707812163846,32.669132405715686,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,278.0,6.0,50.0,278.0,0.1,34.205999999999996,0.0,0.0,25.448700428009033,,,,,,,,,,,,,,,,,,,,,12.720430222553633,11.515447917593383,33.63721929023349,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,330.0,7.0,52.0,330.0,0.1,24.509000000000032,0.0,0.0,30.846585035324097,,,,,,,,,,,,,,,,,,,,,6.884555306679933,7.953189160653443,24.19937768003503,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,369.0,8.0,39.0,369.0,0.1,26.505000000000013,0.0,0.0,35.14622402191162,,,,,,,,,,,,,,,,,,,,,10.041711662983545,9.044897720320828,26.165678436337885,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,402.0,9.0,33.0,402.0,0.1,15.206999999999994,0.0,0.0,38.91754651069641,,,,,,,,,,,,,,,,,,,,,4.497560765371546,5.101690418063366,15.088742891783417,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,434.0,10.0,32.0,434.0,0.1,19.105000000000015,0.0,0.0,42.87038969993591,,,,,,,,,,,,,,,,,,,,,6.669582053498302,6.6432865091623325,18.929413271417623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
